weekday,weekday_ko,rank,webtoon_title,webtoon_url,webtoon_title_id,collected_at_kst,webtoon_author,adult_or_login_required,author_collect_status,serial_weekday_text,serial_weekdays,weekday_list,series_search_rank,series_title,series_title_raw,series_episode_info,series_total_episode_count,series_completion_status,series_author,series_author_raw,series_url,series_product_no,series_result_text,is_compilation,has_total_episode_info,match_score,match_reason,match_status,selected_rule,checked_candidate_count,series_download_text,series_download_count,download_status,mapping_source,needs_series_recheck,mapping_updated_at_kst
mon,월,11,먹는 인생2,https://comic.naver.com/webtoon/list?titleId=845271&tab=mon,845271,2026-07-27 12:19:45,홍끼,False,ok,"월, 목 연재","mon,thu","mon,thu",1.0,먹는 인생2,먹는 인생2 (총 58화/미완결),총 58화/미완결,58.0,미완결,평점 9.8 | 홍끼 홍끼 | 2026.06.07. | 총58화/미완결 | 53화 무료,,https://series.naver.com/comic/detail.series?productNo=13455875,13455875,"먹는 인생2 (총 58화/미완결)
평점
9.8 | 홍끼 홍끼 | 2026.06.07. | 총58화/미완결 | 53화 무료
행복한 일상에는 맛있는 음식이 빠질 수 없지!맛있는 음식을 탐험하며 이어지는 일상 이야기",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,20.5만,205000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
mon,월,30,어린이집 다니는 구나,https://comic.naver.com/webtoon/list?titleId=817945&tab=mon,817945,2026-07-27 12:19:45,구나,False,ok,"월, 수 연재","mon,wed","mon,wed",1.0,어린이집 다니는 구나,어린이집 다니는 구나 (총 187화/미완결),총 187화/미완결,187.0,미완결,평점 10.0 | 구나 구나 | 2026.06.07. | 총187화/미완결 | 181화 무료,,https://series.naver.com/comic/detail.series?productNo=10301137,10301137,"어린이집 다니는 구나 (총 187화/미완결)
평점
10.0 | 구나 구나 | 2026.06.07. | 총187화/미완결 | 181화 무료
""노는 게 제일 좋아!"" 라고 했더니 정말 노는 게 직업이 됐다?! 매일 동심의 세계로 출퇴근한지 어쩌다 10년째!아이들이라면 알 만큼 안다고 생각했는데... 예측불가한 말과 행동들은 여전히 새롭기만 하다. 그런 아이들에게 언제..",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,174.9만,1749000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
mon,월,43,구야는 신입,https://comic.naver.com/webtoon/list?titleId=828167&tab=mon,828167,2026-07-27 12:19:45,구야,False,ok,"월, 금 연재","mon,fri","mon,fri",1.0,구야는 신입,구야는 신입 (총 182화/미완결),총 182화/미완결,182.0,미완결,평점 9.9 | 구야 구야 | 2026.06.07. | 총182화/미완결 | 178화 무료,,https://series.naver.com/comic/detail.series?productNo=11367370,11367370,"구야는 신입 (총 182화/미완결)
평점
9.9 | 구야 구야 | 2026.06.07. | 총182화/미완결 | 178화 무료
평생 학생일 줄 알았던 내가 어느새 직장인이 되어버렸다.직장인이 된 기쁨도 잠시... 이제는 일하다가 몰래 잡코리x만 뒤져보는 직장인이 되어버렸다는데...사회초년생 구야의 웃픈(?) 홀로서기",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,50.9만,509000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
mon,월,58,K학원 생존기,https://comic.naver.com/webtoon/list?titleId=823190&tab=mon,823190,2026-07-27 12:19:46,양아최,False,ok,"월, 토 연재","mon,sat","mon,sat",1.0,K학원 생존기,K학원 생존기 (총 228화/미완결),총 228화/미완결,228.0,미완결,평점 9.9 | 양아최 양아최 | 2026.06.07. | 총228화/미완결 | 223화 무료,,https://series.naver.com/comic/detail.series?productNo=10921535,10921535,"K학원 생존기 (총 228화/미완결)
평점
9.9 | 양아최 양아최 | 2026.06.07. | 총228화/미완결 | 223화 무료
K학원 지옥에 빠져있던 내가선생이 되어 다시 학원으로 돌아왔다?!본격 학원고인물이 되어버린선생님의 학원공감툰!",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,50.6만,506000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
mon,월,72,아가씨는 못말려,https://comic.naver.com/webtoon/list?titleId=843869&tab=mon,843869,2026-07-27 12:19:46,김연우,False,ok,"월, 수 연재","mon,wed","mon,wed",1.0,아가씨는 못말려,아가씨는 못말려 (총 70화/미완결),총 70화/미완결,70.0,미완결,평점 10.0 | 김연우 김연우 | 2026.06.07. | 총70화/미완결 | 65화 무료,,https://series.naver.com/comic/detail.series?productNo=13262427,13262427,"아가씨는 못말려 (총 70화/미완결)
평점
10.0 | 김연우 김연우 | 2026.06.07. | 총70화/미완결 | 65화 무료
짝사랑 중인 같은 반 남학생이 알고 보니 집사 카페 집사?!그의 마음을 얻기 위한 방고운의 당도 999%의 디저트와 고군분투! 달콤한 디저트와 풋풋한 사랑이 어우러진 로맨틱 코미디",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,15.1만,151000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
mon,월,76,오늘은 뭐하고 놀까?,https://comic.naver.com/webtoon/list?titleId=842116&tab=mon,842116,2026-07-27 12:19:46,햄김밥,False,ok,"월, 수 연재","mon,wed","mon,wed",1.0,오늘은 뭐하고 놀까?,오늘은 뭐하고 놀까? (총 89화/미완결),총 89화/미완결,89.0,미완결,평점 10.0 | 햄김밥 | 2026.06.07. | 총89화/미완결 | 84화 무료,,https://series.naver.com/comic/detail.series?productNo=13041640,13041640,"오늘은 뭐하고 놀까? (총 89화/미완결)
평점
10.0 | 햄김밥 | 2026.06.07. | 총89화/미완결 | 84화 무료
게임을 좋아하는 원숭이 ‘햄김밥’의 징글 귀염 게이머 공감 일상 개그툰! 오늘은 뭐하고 놀까?",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,2.9만,29000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
tue,화,3,오! 나의 교주님,https://comic.naver.com/webtoon/list?titleId=841624&tab=tue,841624,2026-07-27 12:19:48,,True,login_or_adult_required,,"tue,fri","tue,fri",1.0,오! 나의 교주님,오! 나의 교주님 (총 94화/미완결),총 94화/미완결,94.0,미완결,"평점 9.4 | 김꿀빨, 김완두 김꿀빨, 김완두 | 2026.06.18. | 총94화/미완결 | 89화 무료","평점 9.4 | 김꿀빨, 김완두 김꿀빨, 김완두 | 2026.06.18. | 총94화/미완결 | 89화 무료",https://series.naver.com/comic/detail.series?productNo=12998643,12998643,"오! 나의 교주님 (총 94화/미완결)
평점
9.4 | 김꿀빨, 김완두 김꿀빨, 김완두 | 2026.06.18. | 총94화/미완결 | 89화 무료
사이비 종교 ‘진천교’에서 태어나 평생을 그곳에서 살아온 한성민. 그는 결국 모든 것을 잃고 홀로 탈출한다.수년 후, 성인이 된 그는 다시 진천교에 잠입해 처절한 복수를 시작하려 한다.“오, 나의 교주님. 제가 보내드릴게..",False,True,105,"title_contains,bonus_total_episode_info,bonus_rank_1",review_needed,non_compilation_but_download_not_ok,1,,,not_found,reused_existing_product_no,False,2026-07-27 13:10:46
tue,화,10,동생 왔다,https://comic.naver.com/webtoon/list?titleId=851503&tab=tue,851503,2026-07-27 12:19:48,모나,False,ok,"화, 토 연재","tue,sat","tue,sat",1.0,동생 왔다,동생 왔다 (총 6화/미완결),총 6화/미완결,6.0,미완결,평점 10.0 | 모나 | 2026.06.15. | 총6화/미완결 | 1화 무료,평점 10.0 | 모나 | 2026.06.15. | 총6화/미완결 | 1화 무료,https://series.naver.com/comic/detail.series?productNo=14264185,14264185,"동생 왔다 (총 6화/미완결)
평점
10.0 | 모나 | 2026.06.15. | 총6화/미완결 | 1화 무료
오빠보다 더한 여동생이 나타났다.리얼 자매 이야기, 진짜 동생이 왔다!",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,1.3만,13000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
tue,화,31,커플이상 부부미만,https://comic.naver.com/webtoon/list?titleId=850026&tab=tue,850026,2026-07-27 12:19:49,마자,False,ok,"화, 금 연재","tue,fri","tue,fri",1.0,커플이상 부부미만,커플이상 부부미만 (총 14화/미완결),총 14화/미완결,14.0,미완결,평점 10.0 | 마자 마자 | 2026.06.08. | 총14화/미완결 | 9화 무료,,https://series.naver.com/comic/detail.series?productNo=14070509,14070509,"커플이상 부부미만 (총 14화/미완결)
평점
10.0 | 마자 마자 | 2026.06.08. | 총14화/미완결 | 9화 무료
결혼까진 좀 그렇고… 일단 한번 같이 살아볼까?연애하는 룸메이트! 결혼 맛보기 스푼! 커플보다는 가깝고 부부보다는 먼 동거 커플의 일상!본격적인 혼인숙려기간 시작!",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,2.7만,27000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
tue,화,43,생활의 참견 2 : 지금은 가족시절,https://comic.naver.com/webtoon/list?titleId=849676&tab=tue,849676,2026-07-27 12:19:49,김양수,False,ok,"화, 금 연재","tue,fri","tue,fri",1.0,생활의 참견 2 : 지금은 가족시절,생활의 참견 2 : 지금은 가족시절 (총 20화/미완결),총 20화/미완결,20.0,미완결,평점 10.0 | 김양수 | 2026.06.08. | 총20화/미완결 | 15화 무료,,https://series.naver.com/comic/detail.series?productNo=14011888,14011888,"생활의 참견 2 : 지금은 가족시절 (총 20화/미완결)
평점
10.0 | 김양수 | 2026.06.08. | 총20화/미완결 | 15화 무료
쉽게 지나치는 일상과 지나간 추억 속에서 발견하는 유쾌한 웃음,자라난 아이들과 더욱 강력해진 케미로 그가 돌아왔다!",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,2.4만,24000.0,ok,reused_existing_product_no,False,2026-07-27 13:10:46
