weekday,weekday_ko,rank,webtoon_title,webtoon_url,webtoon_title_id,collected_at_kst,webtoon_author,adult_or_login_required,author_collect_status,serial_weekday_text,serial_weekdays,weekday_list,series_search_rank,series_title,series_title_raw,series_episode_info,series_total_episode_count,series_completion_status,series_author,series_url,series_product_no,series_result_text,is_compilation,has_total_episode_info,match_score,match_reason,match_status,selected_rule,checked_candidate_count,series_download_text,series_download_count,download_status,mapping_source,needs_series_recheck,series_author_raw,mapping_updated_at_kst
mon,월,1,참교육,https://comic.naver.com/webtoon/list?titleId=758037&tab=mon,758037,2026-06-19 02:28:01,채용택,False,ok,연재,mon,mon,1.0,참교육,참교육 (총 251화/미완결),총 251화/미완결,251.0,미완결,평점 9.7 | 채용택 한가람 | 2026.06.07. | 총251화/미완결 | 246화 무료,https://series.naver.com/comic/detail.series?productNo=5620215,5620215,"참교육 (총 251화/미완결)
평점
9.7 | 채용택 한가람 | 2026.06.07. | 총251화/미완결 | 246화 무료
지금부터 참교육이 시작된다!",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,"5,518만",55180000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,2,신체,https://comic.naver.com/webtoon/list?titleId=844058&tab=mon,844058,2026-06-19 02:28:01,,True,login_or_adult_required,,mon,mon,1,19금 신체,19금 신체 (총 38화/미완결),총 38화/미완결,38.0,미완결,평점 9.8 | 엄세윤 정썸머 | 2026.06.14. | 총38화/미완결 | 33화 무료,https://series.naver.com/comic/detail.series?productNo=13285897,13285897,"19금 신체 (총 38화/미완결)
평점
9.8 | 엄세윤 정썸머 | 2026.06.14. | 총38화/미완결 | 33화 무료",False,True,105,"title_contains,bonus_total_episode_info,bonus_rank_1",review_needed,non_compilation_but_download_not_ok,6,,,not_found,searched_series,False,평점 9.8 | 엄세윤 정썸머 | 2026.06.14. | 총38화/미완결 | 33화 무료,2026-06-19 03:32:31
mon,월,3,환생천마,https://comic.naver.com/webtoon/list?titleId=822657&tab=mon,822657,2026-06-19 02:28:01,JP,False,ok,연재,mon,mon,1.0,환생천마,환생천마 (총 125화/미완결),총 125화/미완결,125.0,미완결,"평점 9.9 | 장영훈, JP 부겸 | 2026.06.07. | 총125화/미완결 | 118화 무료",https://series.naver.com/comic/detail.series?productNo=10856132,10856132,"환생천마 (총 125화/미완결)
평점
9.9 | 장영훈, JP 부겸 | 2026.06.07. | 총125화/미완결 | 118화 무료
철혈의 맹주, 강호의 절대자 '천하진'. 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다! 취미는 사기도박, 검은 창고에 박아둔지 오래. 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고, 전생에서 ..",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,"1,072만",10720000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,4,샤MONEY즘,https://comic.naver.com/webtoon/list?titleId=840014&tab=mon,840014,2026-06-19 02:28:01,나락,False,ok,연재,mon,mon,1.0,샤MONEY즘,샤MONEY즘 (총 54화/미완결),총 54화/미완결,54.0,미완결,평점 10.0 | 나락 영기 | 2026.06.07. | 총54화/미완결 | 49화 무료,https://series.naver.com/comic/detail.series?productNo=12731193,12731193,"샤MONEY즘 (총 54화/미완결)
평점
10.0 | 나락 영기 | 2026.06.07. | 총54화/미완결 | 49화 무료
“진짜 일류 무당은 여의도에서 논다.” 주가의 오르내림을 예측하는 것만으로 수십, 수백 억을 벌 수 있는 여의도의 투자사들은 신통력이 있는 무당들을 고용했고, 그것은 여의도를 일류 무당들의 무대로 만들었다. 가난한 소..",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,766.2만,7662000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,5,절대검감,https://comic.naver.com/webtoon/list?titleId=796075&tab=mon,796075,2026-06-19 02:28:01,김두루미,False,ok,연재,mon,mon,1.0,절대검감[독점],절대검감[독점] (총 186화/미완결),총 186화/미완결,186.0,미완결,"평점 9.8 | 한중월야, 김두루미 티아이 | 2026.06.07. | 총186화/미완결 | 182화 무료",https://series.naver.com/comic/detail.series?productNo=8555655,8555655,"절대검감[독점] (총 186화/미완결)
평점
9.8 | 한중월야, 김두루미 티아이 | 2026.06.07. | 총186화/미완결 | 182화 무료
단전이 부숴졌다는 이유로 집에서는 내놓은 자식 취급을 받던 소운휘는 혈교에 납치되어서도 삼류 첩자로 살아왔다.어느 날, 전설로만 알려진 검선비록을 찾는데 이용당하다 죽은 운휘는 10년 전, 혈교에 납치되던 그 날로 돌..",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,"1,799만",17990000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,6,백수세끼,https://comic.naver.com/webtoon/list?titleId=733074&tab=mon,733074,2026-06-19 02:28:01,치즈,False,ok,연재,mon,mon,1.0,백수세끼,백수세끼 (총 284화/미완결),총 284화/미완결,284.0,미완결,평점 9.9 | 치즈 치즈 | 2026.06.07. | 총284화/미완결 | 279화 무료,https://series.naver.com/comic/detail.series?productNo=4440934,4440934,"백수세끼 (총 284화/미완결)
평점
9.9 | 치즈 치즈 | 2026.06.07. | 총284화/미완결 | 279화 무료
가슴 아픈 시련 뒤에도 밥은 넘어간다.백수 재호가 먹는 세끼",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,"1,975만",19750000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,7,소녀의 세계,https://comic.naver.com/webtoon/list?titleId=654774&tab=mon,654774,2026-06-19 02:28:01,모랑지,False,ok,연재,mon,mon,1.0,소녀의 세계,소녀의 세계 (총 496화/미완결),총 496화/미완결,496.0,미완결,평점 9.9 | 모랑지 모랑지 | 2026.06.07. | 총496화/미완결 | 493화 무료,https://series.naver.com/comic/detail.series?productNo=2225134,2225134,"소녀의 세계 (총 496화/미완결)
평점
9.9 | 모랑지 모랑지 | 2026.06.07. | 총496화/미완결 | 493화 무료
완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나 여러 갈등을 함께 겪으며 진짜 친구가 되어가는 이야기",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,"5,781만",57810000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,8,똑 닮은 딸,https://comic.naver.com/webtoon/list?titleId=774866&tab=mon,774866,2026-06-19 02:28:01,이담,False,ok,연재,mon,mon,1.0,똑 닮은 딸,똑 닮은 딸 (총 212화/미완결),총 212화/미완결,212.0,미완결,평점 9.8 | 이담 이담 | 2026.06.07. | 총212화/미완결 | 208화 무료,https://series.naver.com/comic/detail.series?productNo=6546523,6546523,"똑 닮은 딸 (총 212화/미완결)
평점
9.8 | 이담 이담 | 2026.06.07. | 총212화/미완결 | 208화 무료
'우리 엄마가 살인마인 것 같다.' 성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다. 그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오..",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,"2,336만",23360000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,9,귀촌리,https://comic.naver.com/webtoon/list?titleId=822573&tab=mon,822573,2026-06-19 02:28:01,황양,False,ok,연재,mon,mon,1.0,귀촌리,귀촌리 (총 100화/미완결),총 100화/미완결,100.0,미완결,평점 9.8 | 황양 이대한 | 2026.06.07. | 총100화/미완결 | 95화 무료,https://series.naver.com/comic/detail.series?productNo=10845772,10845772,"귀촌리 (총 100화/미완결)
평점
9.8 | 황양 이대한 | 2026.06.07. | 총100화/미완결 | 95화 무료
평범한 시골 마을 '귀촌리'를 찾은 '허무명'. 그는 돌아가신 할머니의 빈 집에 조용히 숨어든다. 그런데 집이 이상하리만큼 깔끔하다. 할머니가 돌아가신 건 3년 전인데? 어쩐지 마을 사람들은 이방인 무명의 방문을 달가워 하는..",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,552.2만,5522000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
mon,월,10,먹는 인생2,https://comic.naver.com/webtoon/list?titleId=845271&tab=mon,845271,2026-06-19 02:28:01,홍끼,False,ok,"월, 목 연재","mon,thu","mon,thu",1.0,먹는 인생2,먹는 인생2 (총 58화/미완결),총 58화/미완결,58.0,미완결,평점 9.8 | 홍끼 홍끼 | 2026.06.07. | 총58화/미완결 | 53화 무료,https://series.naver.com/comic/detail.series?productNo=13455875,13455875,"먹는 인생2 (총 58화/미완결)
평점
9.8 | 홍끼 홍끼 | 2026.06.07. | 총58화/미완결 | 53화 무료
행복한 일상에는 맛있는 음식이 빠질 수 없지!맛있는 음식을 탐험하며 이어지는 일상 이야기",False,True,145,"title_contains,author_exact_or_contains,bonus_total_episode_info,bonus_rank_1",matched,first_non_compilation_numeric_download,1,20.5만,205000.0,ok,reused_existing_product_no,False,,2026-06-19 03:32:31
