weekday,weekday_ko,rank,webtoon_title,webtoon_url,webtoon_title_id,collected_at_kst,webtoon_author,adult_or_login_required,author_collect_status,serial_weekday_text,serial_weekdays,weekday_list
mon,월,1,참교육,https://comic.naver.com/webtoon/list?titleId=758037&tab=mon,758037,2026-08-03 11:55:49,채용택,False,ok,연재,mon,mon
mon,월,2,신체,https://comic.naver.com/webtoon/list?titleId=844058&tab=mon,844058,2026-08-03 11:55:49,,True,login_or_adult_required,,mon,mon
mon,월,3,환생천마,https://comic.naver.com/webtoon/list?titleId=822657&tab=mon,822657,2026-08-03 11:55:49,JP,False,ok,연재,mon,mon
mon,월,4,샤MONEY즘,https://comic.naver.com/webtoon/list?titleId=840014&tab=mon,840014,2026-08-03 11:55:49,나락,False,ok,연재,mon,mon
mon,월,5,시한부 천재가 살아남는 법,https://comic.naver.com/webtoon/list?titleId=832703&tab=mon,832703,2026-08-03 11:55:49,JP,False,ok,연재,mon,mon
mon,월,6,절대검감,https://comic.naver.com/webtoon/list?titleId=796075&tab=mon,796075,2026-08-03 11:55:49,김두루미,False,ok,연재,mon,mon
mon,월,7,백수세끼,https://comic.naver.com/webtoon/list?titleId=733074&tab=mon,733074,2026-08-03 11:55:49,치즈,False,ok,연재,mon,mon
mon,월,8,똑 닮은 딸,https://comic.naver.com/webtoon/list?titleId=774866&tab=mon,774866,2026-08-03 11:55:49,이담,False,ok,연재,mon,mon
mon,월,9,소녀의 세계,https://comic.naver.com/webtoon/list?titleId=654774&tab=mon,654774,2026-08-03 11:55:50,모랑지,False,ok,연재,mon,mon
mon,월,10,귀촌리,https://comic.naver.com/webtoon/list?titleId=822573&tab=mon,822573,2026-08-03 11:55:50,황양,False,ok,연재,mon,mon
mon,월,11,먹는 인생2,https://comic.naver.com/webtoon/list?titleId=845271&tab=mon,845271,2026-08-03 11:55:50,홍끼,False,ok,"월, 목 연재","mon,thu","mon,thu"
mon,월,12,파브르 in 사천당가,https://comic.naver.com/webtoon/list?titleId=833702&tab=mon,833702,2026-08-03 11:55:50,지대공마법소년,False,ok,연재,mon,mon
mon,월,13,계속 써도 돈이 쌓임,https://comic.naver.com/webtoon/list?titleId=851687&tab=mon,851687,2026-08-03 11:55:50,나들이,False,ok,연재,mon,mon
mon,월,14,회귀한 공작가의 막내도련님은 암살자,https://comic.naver.com/webtoon/list?titleId=821195&tab=mon,821195,2026-08-03 11:55:50,스윙뱃,False,ok,연재,mon,mon
mon,월,15,시리도록 불꽃처럼,https://comic.naver.com/webtoon/list?titleId=834686&tab=mon,834686,2026-08-03 11:55:50,김인호,False,ok,연재,mon,mon
mon,월,16,천재 타자가 강속구를 숨김,https://comic.naver.com/webtoon/list?titleId=807775&tab=mon,807775,2026-08-03 11:55:50,황지성,False,ok,연재,mon,mon
mon,월,17,아포칼립스에 집을 숨김,https://comic.naver.com/webtoon/list?titleId=825332&tab=mon,825332,2026-08-03 11:55:50,DD,False,ok,연재,mon,mon
mon,월,18,변경백의 10클래스 망나니,https://comic.naver.com/webtoon/list?titleId=849510&tab=mon,849510,2026-08-03 11:55:50,양평,False,ok,연재,mon,mon
mon,월,19,영업 천재가 되었다,https://comic.naver.com/webtoon/list?titleId=818780&tab=mon,818780,2026-08-03 11:55:50,혜림,False,ok,연재,mon,mon
mon,월,20,그린스킨,https://comic.naver.com/webtoon/list?titleId=851187&tab=mon,851187,2026-08-03 11:55:50,,True,login_or_adult_required,,mon,mon
mon,월,21,청부입학,https://comic.naver.com/webtoon/list?titleId=851688&tab=mon,851688,2026-08-03 11:55:50,강필,False,ok,연재,mon,mon
mon,월,22,다정한 침입자,https://comic.naver.com/webtoon/list?titleId=840839&tab=mon,840839,2026-08-03 11:55:50,이니,False,ok,연재,mon,mon
mon,월,23,조선야차,https://comic.naver.com/webtoon/list?titleId=850109&tab=mon,850109,2026-08-03 11:55:50,두엽,False,ok,연재,mon,mon
mon,월,24,신화급 귀속 아이템을 손에 넣었다,https://comic.naver.com/webtoon/list?titleId=795297&tab=mon,795297,2026-08-03 11:55:50,판테라,False,ok,연재,mon,mon
mon,월,25,망플루언서,https://comic.naver.com/webtoon/list?titleId=850526&tab=mon,850526,2026-08-03 11:55:50,,True,login_or_adult_required,,mon,mon
mon,월,26,대공비가 체질입니다,https://comic.naver.com/webtoon/list?titleId=841126&tab=mon,841126,2026-08-03 11:55:50,LICO,False,ok,연재,mon,mon
mon,월,27,검 먹는 소드마스터,https://comic.naver.com/webtoon/list?titleId=845918&tab=mon,845918,2026-08-03 11:55:50,양명,False,ok,연재,mon,mon
mon,월,28,어린이집 다니는 구나,https://comic.naver.com/webtoon/list?titleId=817945&tab=mon,817945,2026-08-03 11:55:50,구나,False,ok,"월, 수 연재","mon,wed","mon,wed"
mon,월,29,몬스터와 힐링하는 S급 헌터,https://comic.naver.com/webtoon/list?titleId=840845&tab=mon,840845,2026-08-03 11:55:50,팀 더 지크,False,ok,연재,mon,mon
mon,월,30,중세 판타지 속 망나니 경비조장,https://comic.naver.com/webtoon/list?titleId=831416&tab=mon,831416,2026-08-03 11:55:50,스튜디오MW,False,ok,연재,mon,mon
mon,월,31,우주천마 3077,https://comic.naver.com/webtoon/list?titleId=829195&tab=mon,829195,2026-08-03 11:55:50,산하,False,ok,연재,mon,mon
mon,월,32,세림의 철칙,https://comic.naver.com/webtoon/list?titleId=852516&tab=mon,852516,2026-08-03 11:55:50,세윤,False,ok,연재,mon,mon
mon,월,33,이혼자녀,https://comic.naver.com/webtoon/list?titleId=846616&tab=mon,846616,2026-08-03 11:55:50,051,False,ok,연재,mon,mon
mon,월,34,좀비묵시록 82-08,https://comic.naver.com/webtoon/list?titleId=814742&tab=mon,814742,2026-08-03 11:55:50,달아,False,ok,연재,mon,mon
mon,월,35,빌런의 순정,https://comic.naver.com/webtoon/list?titleId=845531&tab=mon,845531,2026-08-03 11:55:50,수민,False,ok,연재,mon,mon
mon,월,36,상사폭행,https://comic.naver.com/webtoon/list?titleId=849297&tab=mon,849297,2026-08-03 11:55:50,레블스튜디오,False,ok,연재,mon,mon
mon,월,37,수상한 다이어트 클럽,https://comic.naver.com/webtoon/list?titleId=821626&tab=mon,821626,2026-08-03 11:55:50,스프링,False,ok,연재,mon,mon
mon,월,38,연애리뷰,https://comic.naver.com/webtoon/list?titleId=835082&tab=mon,835082,2026-08-03 11:55:50,송채윤,False,ok,연재,mon,mon
mon,월,39,장편단편선,https://comic.naver.com/webtoon/list?titleId=843310&tab=mon,843310,2026-08-03 11:55:50,기주주,False,ok,연재,mon,mon
mon,월,40,"정신 차려, 전승연",https://comic.naver.com/webtoon/list?titleId=832243&tab=mon,832243,2026-08-03 11:55:50,제민,False,ok,연재,mon,mon
mon,월,41,고블린 주식회사,https://comic.naver.com/webtoon/list?titleId=852571&tab=mon,852571,2026-08-03 11:55:50,살려주세요,False,ok,연재,mon,mon
mon,월,42,포도가 익기 전에,https://comic.naver.com/webtoon/list?titleId=843017&tab=mon,843017,2026-08-03 11:55:50,삼태,False,ok,연재,mon,mon
mon,월,43,시간을 돌아온 황후의 납치 결혼,https://comic.naver.com/webtoon/list?titleId=834548&tab=mon,834548,2026-08-03 11:55:50,그리온,False,ok,연재,mon,mon
mon,월,44,구야는 신입,https://comic.naver.com/webtoon/list?titleId=828167&tab=mon,828167,2026-08-03 11:55:51,구야,False,ok,"월, 금 연재","mon,fri","mon,fri"
mon,월,45,비공식 CC,https://comic.naver.com/webtoon/list?titleId=851431&tab=mon,851431,2026-08-03 11:55:51,백유안,False,ok,연재,mon,mon
mon,월,46,프레스턴 경의 비밀 가정교사,https://comic.naver.com/webtoon/list?titleId=848884&tab=mon,848884,2026-08-03 11:55:51,오로라 스튜디오,False,ok,연재,mon,mon
mon,월,47,강아지별,https://comic.naver.com/webtoon/list?titleId=843129&tab=mon,843129,2026-08-03 11:55:51,아음,False,ok,연재,mon,mon
mon,월,48,피폐물을 힐링물로 만드는 방법,https://comic.naver.com/webtoon/list?titleId=826381&tab=mon,826381,2026-08-03 11:55:51,,True,login_or_adult_required,,mon,mon
mon,월,49,세상도 구해본 놈이 잘 구한다,https://comic.naver.com/webtoon/list?titleId=845832&tab=mon,845832,2026-08-03 11:55:51,오정훈,False,ok,연재,mon,mon
mon,월,50,히어로메이커,https://comic.naver.com/webtoon/list?titleId=21815&tab=mon,21815,2026-08-03 11:55:51,빤쓰,False,ok,연재,mon,mon
mon,월,51,더블클릭,https://comic.naver.com/webtoon/list?titleId=769663&tab=mon,769663,2026-08-03 11:55:51,박수봉,False,ok,연재,mon,mon
mon,월,52,라서드,https://comic.naver.com/webtoon/list?titleId=756140&tab=mon,756140,2026-08-03 11:55:51,감람,False,ok,연재,mon,mon
mon,월,53,해피 페이스,https://comic.naver.com/webtoon/list?titleId=838569&tab=mon,838569,2026-08-03 11:55:51,이저녁,False,ok,연재,mon,mon
mon,월,54,나의 연애 참견자,https://comic.naver.com/webtoon/list?titleId=844840&tab=mon,844840,2026-08-03 11:55:51,꿀삼,False,ok,연재,mon,mon
mon,월,55,개같이 탈출,https://comic.naver.com/webtoon/list?titleId=814594&tab=mon,814594,2026-08-03 11:55:51,갬쟈,False,ok,연재,mon,mon
mon,월,56,위험하지 않아요 NPC씨,https://comic.naver.com/webtoon/list?titleId=828365&tab=mon,828365,2026-08-03 11:55:51,미라주,False,ok,연재,mon,mon
