weekday,rank,webtoon_title,webtoon_author,webtoon_title_id,webtoon_url,series_product_no,series_title,series_title_raw,series_episode_info,series_total_episode_count,series_completion_status,series_author,series_author_raw,series_url,match_status,download_status,series_result_text,weekday_list,weekday_row_count,serial_weekdays,serial_weekday_count,pre_collect_weekdays,post_24h_collect_weekdays,is_download_collectable,release_weekday,release_weekday_ko,pre_collect_weekday,post_24h_collect_weekday,release_event_key,collection_context,target_reason,series_download_text,series_download_count,current_url,snapshot_id,snapshot_weekday,snapshot_weekday_ko,snapshot_started_at_kst,snapshot_date_kst,snapshot_time_kst,item_collect_started_at_kst,item_collect_finished_at_kst,item_collect_elapsed_seconds,collected_at_kst,collected_date_kst,collected_time_kst,snapshot_finished_at_kst,snapshot_elapsed_seconds,dt,baseline_found,baseline_download_count,download_increase,download_increase_rate
thu,30,쿠베라,카레곰,131385,https://comic.naver.com/webtoon/list?titleId=131385&tab=thu,2157756,쿠베라,쿠베라 (총 750화/미완결),총 750화/미완결,750.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=2157756,matched,ok,"쿠베라 (총 750화/미완결)
평점
10.0 | 카레곰 카레곰 | 2026.06.03. | 총750화/미완결 | 747화 무료
신의 이름을 가진 소녀와 마법사들이 펼쳐나가는소속불명 장르 혼합 판타지",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,2157756_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"1,672만",16720000.0,https://series.naver.com/comic/detail.series?productNo=2157756,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:17,2026-06-18 05:58:19,2.51,2026-06-18 05:58:19,2026-06-18,05:58:19,2026-06-18 06:05:12,935.48,2026-06-18 05:58:19,False,,,
thu,36,최강전설 강해효,최병열,570506,https://comic.naver.com/webtoon/list?titleId=570506&tab=thu,3987481,최강전설 강해효,최강전설 강해효 (총 664화/미완결),총 664화/미완결,664.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=3987481,matched,ok,"최강전설 강해효 (총 664화/미완결)
평점
7.6 | 최병열 최병열 | 2026.06.03. | 총664화/미완결 | 661화 무료
맹수같이 거친 문제아 학생들만 모여있는 최강고등학교!!그곳에서 변화가 시작되었다.",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,3987481_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,999.9만,9999000.0,https://series.naver.com/comic/detail.series?productNo=3987481,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:21,2026-06-18 05:58:23,2.47,2026-06-18 05:58:23,2026-06-18,05:58:23,2026-06-18 06:05:12,935.48,2026-06-18 05:58:23,False,,,
thu,7,무사만리행,운,746857,https://comic.naver.com/webtoon/list?titleId=746857&tab=thu,5173965,무사만리행[독점],무사만리행[독점] (총 282화/미완결),총 282화/미완결,282.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5173965,matched,ok,"무사만리행[독점] (총 282화/미완결)
평점
9.6 | 운(雲) 배민기 | 2026.06.03. | 총282화/미완결 | 277화 무료
[ 2025 오늘의 우리만화 수상작 ]2세기 후반, 마한연맹 고리국(古離國)의 무사 나루.믿었던 스승의 배신으로 나라가 멸망하고,평생을 바쳐 지켜주겠노라 맹세했던 소단공주의 행방이 묘연해진다.소단 공주의 행방을 쫓던 나..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,5173965_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"2,393만",23930000.0,https://series.naver.com/comic/detail.series?productNo=5173965,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:24,2026-06-18 05:58:26,1.9,2026-06-18 05:58:26,2026-06-18,05:58:26,2026-06-18 06:05:12,935.48,2026-06-18 05:58:26,False,,,
thu,1,나노마신,현절무,747271,https://comic.naver.com/webtoon/list?titleId=747271&tab=thu,5180614,나노마신[독점],나노마신[독점] (총 315화/미완결),총 315화/미완결,315.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5180614,matched,ok,"나노마신[독점] (총 315화/미완결)
평점
9.8 | 한중월야,현절무 금강불괴 | 2026.06.03. | 총315화/미완결 | 308화 무료
갖은 멸시와 목숨의 위협을 받던 마교의 사생아 천여운, 미래에서 나타난 후손이 천여운의 몸에 나노 머신을 주입한 후 그의 인생이 송두리째 바뀐다.마교를 넘어 무림 최고의 자리에 오르기 위한 천여운의 거침없는 이야기가 ..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,5180614_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"9,389만",93890000.0,https://series.naver.com/comic/detail.series?productNo=5180614,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:27,2026-06-18 05:58:29,2.18,2026-06-18 05:58:29,2026-06-18,05:58:29,2026-06-18 06:05:12,935.48,2026-06-18 05:58:29,False,,,
thu,24,정글쥬스,형은,762279,https://comic.naver.com/webtoon/list?titleId=762279&tab=thu,5770955,정글쥬스,정글쥬스 (총 212화/미완결),총 212화/미완결,212.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5770955,matched,ok,"정글쥬스 (총 212화/미완결)
평점
9.9 | 형은 쥬더 | 2026.06.03. | 총212화/미완결 | 208화 무료
의문의 벌레약 ‘정글쥬스’로 인해 곤충인간이 되었다.이를 숨기며 살던 대학생 장수찬은 어느 날 그 모습을모두에게 보이게 되고, 곤충인간들의 사회로 들어가약육강식의 논리와 맞서 싸우게 되는데...각양각색 곤충능력자들..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,5770955_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"1,930만",19300000.0,https://series.naver.com/comic/detail.series?productNo=5770955,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:31,2026-06-18 05:58:33,2.19,2026-06-18 05:58:33,2026-06-18,05:58:33,2026-06-18 06:05:12,935.48,2026-06-18 05:58:33,False,,,
thu,6,천마육성,광휘,776255,https://comic.naver.com/webtoon/list?titleId=776255&tab=thu,6651735,천마육성[독점],천마육성[독점] (총 185화/미완결),총 185화/미완결,185.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=6651735,matched,ok,"천마육성[독점] (총 185화/미완결)
평점
9.6 | 조형근, 광휘 광휘 | 2026.06.03. | 총185화/미완결 | 180화 무료
마교의 태왕각주, ‘사마귀’의 명령에 의해 화산파 출몰 지역으로 파견나간 비객조. 주인공 ‘설휘’는 화산파 고수 '구종명'과 맞닥뜨리고, 죽을 위기에 처하게 된다.그때 눈 앞에 상태창이 나타나 정찰 임무를 받기 직전 시..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,6651735_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"2,333만",23330000.0,https://series.naver.com/comic/detail.series?productNo=6651735,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:35,2026-06-18 05:58:37,2.57,2026-06-18 05:58:37,2026-06-18,05:58:37,2026-06-18 06:05:12,935.48,2026-06-18 05:58:37,False,,,
thu,89,길티액스,정샛별,777830,https://comic.naver.com/webtoon/list?titleId=777830&tab=thu,6505739,길티액스,길티액스 (총 27화/미완결),총 27화/미완결,27.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=6505739,matched,ok,"길티액스 (총 27화/미완결)
평점
9.9 | 정샛별 정샛별 | 2026.05.20. | 총27화/미완결 | 24화 무료
.“눈앞의 불의를 외면하는 순간, 반드시 불행한 사람이 생긴다.”정의로운 소년 단태는 친구를 구하다가 죽었다.그때 함께 나타난 “죄”라고 불리는 괴물.하지만 죽은 줄 알았던 단태에게 주어진 선택지.이대로 천국으로 갈 ..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,6505739_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,18.8만,188000.0,https://series.naver.com/comic/detail.series?productNo=6505739,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:38,2026-06-18 05:58:41,2.24,2026-06-18 05:58:41,2026-06-18,05:58:41,2026-06-18 06:05:12,935.48,2026-06-18 05:58:41,False,,,
thu,18,현실퀘스트,이주운,783888,https://comic.naver.com/webtoon/list?titleId=783888&tab=thu,6708595,현실퀘스트,현실퀘스트 (총 218화/미완결),총 218화/미완결,218.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=6708595,matched,ok,"현실퀘스트 (총 218화/미완결)
평점
9.2 | 이주운 태성 | 2026.06.03. | 총218화/미완결 | 213화 무료
게임 아이템을 가져오라는 일진의 협박으로 인해일주일간 밤샘 게임을 하다 죽음을 맞이한 비운의 게임셔틀 하도완그 순간 일주일 전 교실에서 리스폰되는데...모든 것이 그날과 똑같다. 달라진 것은 단 하나, 눈앞에 떠있는 <..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,6708595_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"3,171만",31710000.0,https://series.naver.com/comic/detail.series?productNo=6708595,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:42,2026-06-18 05:58:45,2.64,2026-06-18 05:58:45,2026-06-18,05:58:45,2026-06-18 06:05:12,935.48,2026-06-18 05:58:45,False,,,
thu,100,가족같은 XX,서우현,790239,https://comic.naver.com/webtoon/list?titleId=790239&tab=thu,8163674,가족같은 XX,가족같은 XX (총 162화/미완결),총 162화/미완결,162.0,미완결,서우현 서우현,평점 9.9 | 서우현 서우현 | 2026.06.17. | 총162화/미완결 | 159화 무료,https://series.naver.com/comic/detail.series?productNo=8163674,matched,ok,"가족같은 XX (총 162화/미완결)
평점
9.9 | 서우현 서우현 | 2026.06.17. | 총162화/미완결 | 159화 무료
탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,8163674_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,637.3만,6373000.0,https://series.naver.com/comic/detail.series?productNo=8163674,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:46,2026-06-18 05:58:49,2.54,2026-06-18 05:58:49,2026-06-18,05:58:49,2026-06-18 06:05:12,935.48,2026-06-18 05:58:49,False,,,
thu,4,재벌집 막내아들,JP,800770,https://comic.naver.com/webtoon/list?titleId=800770&tab=thu,8921276,재벌집 막내아들 [독점],재벌집 막내아들 [독점] (총 209화/미완결),총 209화/미완결,209.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=8921276,matched,ok,"재벌집 막내아들 [독점] (총 209화/미완결)
평점
9.9 | 산경, JP 김병관 | 2026.06.03. | 총209화/미완결 | 193화 무료
[화제의 드라마 원작 웹툰!] 13년 동안의 수고를 배신으로 돌려받다니!머슴처럼 살다 버려진 순양그룹의 실장, 윤현우.모든 게 끝났다 싶었을 즘, 순양그룹 진 회장의 손주 진도준으로 깨어난다!하지만 상속권과는 거리가 먼 ..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,8921276_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"3,119만",31190000.0,https://series.naver.com/comic/detail.series?productNo=8921276,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:58:50,2026-06-18 05:58:53,2.46,2026-06-18 05:58:53,2026-06-18,05:58:53,2026-06-18 06:05:12,935.48,2026-06-18 05:58:53,False,,,
