weekday,rank,webtoon_title,webtoon_author,webtoon_title_id,webtoon_url,series_product_no,series_title,series_title_raw,series_episode_info,series_total_episode_count,series_completion_status,series_author,series_author_raw,series_url,match_status,download_status,series_result_text,weekday_list,weekday_row_count,serial_weekdays,serial_weekday_count,pre_collect_weekdays,post_24h_collect_weekdays,is_download_collectable,release_weekday,release_weekday_ko,pre_collect_weekday,post_24h_collect_weekday,release_event_key,collection_context,target_reason,series_download_text,series_download_count,current_url,snapshot_id,snapshot_weekday,snapshot_weekday_ko,snapshot_started_at_kst,snapshot_date_kst,snapshot_time_kst,item_collect_started_at_kst,item_collect_finished_at_kst,item_collect_elapsed_seconds,collected_at_kst,collected_date_kst,collected_time_kst,snapshot_finished_at_kst,snapshot_elapsed_seconds,dt,baseline_found,baseline_snapshot_id,baseline_collected_at_kst,baseline_download_text,baseline_download_count,download_increase,download_increase_rate
fri,3,외모지상주의,박태준,641253,https://comic.naver.com/webtoon/list?titleId=641253&tab=fri,2184735,외모지상주의,외모지상주의 (총 610화/미완결),총 610화/미완결,610.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=2184735,matched,ok,"외모지상주의 (총 610화/미완결)
평점
8.7 | 박태준 박태준 | 2026.06.04. | 총610화/미완결 | 603화 무료
어느날 그에게 일어난 기적같은 일",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,2184735_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"2억 7,810만",200000000.0,https://series.naver.com/comic/detail.series?productNo=2184735,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:01,2026-06-19 01:09:03,2.05,2026-06-19 01:09:03,2026-06-19,01:09:03,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:03,True,20260618_054937,2026-06-18 05:49:47,"2억 7,810만",200000000.0,0.0,0.0
fri,82,몽홀,장태산,644112,https://comic.naver.com/webtoon/list?titleId=644112&tab=fri,1709178,몽홀,몽홀 (총 556화/미완결),총 556화/미완결,556.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=1709178,matched,ok,"몽홀 (총 556화/미완결)
평점
9.7 | 장태산 장태산 | 2026.06.03. | 총556화/미완결 | 전화 무료
차갑고 척박한 땅 몽홀,그 곳에서 펼쳐지는 감동의 대서사시",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,1709178_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,25.7만,257000.0,https://series.naver.com/comic/detail.series?productNo=1709178,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:04,2026-06-19 01:09:07,2.88,2026-06-19 01:09:07,2026-06-19,01:09:07,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:07,True,20260618_054937,2026-06-18 05:49:51,25.7만,257000.0,0.0,0.0
fri,16,1초,시니,725586,https://comic.naver.com/webtoon/list?titleId=725586&tab=fri,4031207,1초,1초 (총 358화/미완결),총 358화/미완결,358.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=4031207,matched,ok,"1초 (총 358화/미완결)
평점
9.9 | 시니 광운 | 2026.06.04. | 총358화/미완결 | 353화 무료
구조율 100%의 전설적인 소방관그의 특별한 능력은 무엇인가",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,4031207_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"3,903만",39030000.0,https://series.naver.com/comic/detail.series?productNo=4031207,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:08,2026-06-19 01:09:10,2.58,2026-06-19 01:09:10,2026-06-19,01:09:10,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:10,True,20260618_054937,2026-06-18 05:49:55,"3,903만",39030000.0,0.0,0.0
fri,111,합법해적 파르페,뼈피살,729036,https://comic.naver.com/webtoon/list?titleId=729036&tab=fri,4238095,합법해적 파르페,합법해적 파르페 (총 254화/미완결),총 254화/미완결,254.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=4238095,matched,ok,"합법해적 파르페 (총 254화/미완결)
평점
10.0 | 뼈피살 뼈피살 | 2026.06.04. | 총254화/미완결 | 249화 무료
비범한 공주님 파르페의 신묘한 모험 판타지",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,4238095_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,96.8만,968000.0,https://series.naver.com/comic/detail.series?productNo=4238095,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:12,2026-06-19 01:09:14,2.36,2026-06-19 01:09:14,2026-06-19,01:09:14,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:14,True,20260618_054937,2026-06-18 05:49:58,96.8만,968000.0,0.0,0.0
fri,40,플레이어,박종석,745876,https://comic.naver.com/webtoon/list?titleId=745876&tab=fri,5097881,플레이어,플레이어 (총 262화/미완결),총 262화/미완결,262.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5097881,matched,ok,"플레이어 (총 262화/미완결)
평점
9.8 | 박종석 오현준 | 2026.06.04. | 총262화/미완결 | 259화 무료
베댓 공약으로 어쩌다 주인공이 되었다!",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,5097881_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"1,409만",14090000.0,https://series.naver.com/comic/detail.series?productNo=5097881,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:15,2026-06-19 01:09:17,2.19,2026-06-19 01:09:17,2026-06-19,01:09:17,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:17,True,20260618_054937,2026-06-18 05:50:02,"1,409만",14090000.0,0.0,0.0
fri,5,상남자,하늘소,751168,https://comic.naver.com/webtoon/list?titleId=751168&tab=fri,5350583,상남자 [독점],상남자 [독점] (총 267화/미완결),총 267화/미완결,267.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5350583,matched,ok,"상남자 [독점] (총 267화/미완결)
평점
9.9 | 김태궁, 하늘소 도가도 | 2026.06.04. | 총267화/미완결 | 262화 무료
일개 셀러리맨으로 시작해 오로지 성공만을 바라보며 기업 최고의 자리까지 올랐지만, 그 대가로 사랑하던 모든이를 잃어 버린 주인공 한유현. 어느 날 모든 것의 시작이 되었던 젊은 시절의 그때로 돌아가게 되는데....모든 것..",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,5350583_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"3,137만",31370000.0,https://series.naver.com/comic/detail.series?productNo=5350583,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:18,2026-06-19 01:09:21,2.34,2026-06-19 01:09:21,2026-06-19,01:09:21,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:21,True,20260618_054937,2026-06-18 05:50:05,"3,137만",31370000.0,0.0,0.0
fri,115,백년게임,하람,751999,https://comic.naver.com/webtoon/list?titleId=751999&tab=fri,5381950,백년게임,백년게임 (총 314화/미완결),총 314화/미완결,314.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5381950,matched,ok,"백년게임 (총 314화/미완결)
평점
8.9 | 하람 지야 | 2026.06.04. | 총314화/미완결 | 304화 무료
""당신의 게임은 여기까지군요""백 년마다 열리는 소원 그 이상을 이뤄주는 대회, 최종 우승자는 단 한 명.소년 한시준, 가족을 구하기 위해 모든 것을 걸고 치열한 전투에 뛰어든다.",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,5381950_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,234.1만,2341000.0,https://series.naver.com/comic/detail.series?productNo=5381950,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:22,2026-06-19 01:09:25,2.35,2026-06-19 01:09:25,2026-06-19,01:09:25,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:25,True,20260618_054937,2026-06-18 05:50:08,234.1만,2341000.0,0.0,0.0
fri,11,A.I. 닥터,ZAINO,765804,https://comic.naver.com/webtoon/list?titleId=765804&tab=fri,5893741,A.I. 닥터 [독점],A.I. 닥터 [독점] (총 244화/미완결),총 244화/미완결,244.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5893741,matched,ok,"A.I. 닥터 [독점] (총 244화/미완결)
평점
9.9 | ZAINO, 한산이가 쿠큐 | 2026.06.04. | 총244화/미완결 | 239화 무료
A.I.와 선 넘는 의사 생활!? ― 미래적 인공지능, 내과 의사 이수혁의 뇌에 자리 잡다 ― 절대 떨어질 수 없게 되어 버린 그들의 의학 버디 드라마 백강혁보다 더한 A.I. 등장?! ― “미쳤습니까, 휴먼?” 그 정체는... 태화 그룹이 ..",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,5893741_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"2,634만",26340000.0,https://series.naver.com/comic/detail.series?productNo=5893741,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:26,2026-06-19 01:09:29,2.92,2026-06-19 01:09:29,2026-06-19,01:09:29,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:29,True,20260618_054937,2026-06-18 05:50:12,"2,634만",26340000.0,0.0,0.0
fri,42,히어로 킬러,꿀벌,766563,https://comic.naver.com/webtoon/list?titleId=766563&tab=fri,5947808,히어로 킬러,히어로 킬러 (총 277화/미완결),총 277화/미완결,277.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=5947808,matched,ok,"히어로 킬러 (총 277화/미완결)
평점
9.8 | 꿀벌 벌꿀 | 2026.06.04. | 총277화/미완결 | 272화 무료
수년 전, 정체불명의 히어로에게 언니를 잃었다.언니를 죽인 게 누구인지 모르지만 상관없다.한 놈씩 죽이다 보면 그중에 있을 테니까.보아라, 너희들이 어떤 괴물을 만들었는지.",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,5947808_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"1,467만",14670000.0,https://series.naver.com/comic/detail.series?productNo=5947808,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:31,2026-06-19 01:09:33,2.48,2026-06-19 01:09:33,2026-06-19,01:09:33,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:33,True,20260618_054937,2026-06-18 05:50:15,"1,467만",14670000.0,0.0,0.0
fri,98,여우놀이,황혜진,768469,https://comic.naver.com/webtoon/list?titleId=768469&tab=fri,6442158,여우놀이,여우놀이 (총 118화/미완결),총 118화/미완결,118.0,미완결,황혜진 황혜진,평점 10.0 | 황혜진 황혜진 | 2024.12.12. | 총118화/미완결 | 전화 무료,https://series.naver.com/comic/detail.series?productNo=6442158,matched,ok,"여우놀이 (총 118화/미완결)
평점
10.0 | 황혜진 황혜진 | 2024.12.12. | 총118화/미완결 | 전화 무료
평범하게만 살아온 박온유의 일상에 어느 날 찾아와 둘도 없는 베프가 된 ‘예쁜 애’ 신채리.두 사람은 서울 고등학교 상목고에 진학하게 된 후, 모든 10대들의 워너비 ‘상목고의 여우들’을 만나 아슬아슬한 여우놀이에 휘..",fri,1,fri,1,thu,fri,True,fri,금,thu,fri,6442158_fri,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,"1,028만",10280000.0,https://series.naver.com/comic/detail.series?productNo=6442158,20260619_010010,fri,금,2026-06-19 01:00:10,2026-06-19,01:00:10,2026-06-19 01:09:35,2026-06-19 01:09:37,2.34,2026-06-19 01:09:37,2026-06-19,01:09:37,2026-06-19 01:17:41,1050.35,2026-06-19 01:09:37,True,20260618_054937,2026-06-18 05:50:19,"1,028만",10280000.0,0.0,0.0
