weekday,rank,webtoon_title,webtoon_author,webtoon_title_id,webtoon_url,series_product_no,series_title,series_title_raw,series_episode_info,series_total_episode_count,series_completion_status,series_author,series_author_raw,series_url,match_status,download_status,series_result_text,weekday_list,weekday_row_count,serial_weekdays,serial_weekday_count,pre_collect_weekdays,post_24h_collect_weekdays,is_download_collectable,release_weekday,release_weekday_ko,pre_collect_weekday,post_24h_collect_weekday,release_event_key,collection_context,target_reason,series_download_text,series_download_count,current_url,snapshot_id,snapshot_weekday,snapshot_weekday_ko,snapshot_started_at_kst,snapshot_date_kst,snapshot_time_kst,item_collect_started_at_kst,item_collect_finished_at_kst,item_collect_elapsed_seconds,collected_at_kst,collected_date_kst,collected_time_kst,snapshot_finished_at_kst,snapshot_elapsed_seconds,baseline_found,baseline_snapshot_id,baseline_collected_at_kst,baseline_download_text,baseline_download_count,download_increase,download_increase_rate,dt
thu,17,사내연애 사절!,두부,814512,https://comic.naver.com/webtoon/list?titleId=814512&tab=thu,10099875,사내연애 사절!,사내연애 사절! (총 109화/미완결),총 109화/미완결,109.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=10099875,matched,ok,"사내연애 사절! (총 109화/미완결)
평점
10.0 | 두부 남수 | 2026.06.03. | 총109화/미완결 | 105화 무료
첫사랑 별거 있나. 어른이 되어 첫사랑을 다시 만난다면, 과연 우리는 여전히 설렐까? 첫사랑에서 친구로, 친구에서 동료로, 역행하는 관계 속에서 솔직한 내 마음은 '사내연애 사절!' <유일무이 로맨스> 두부 X <바른연애 길..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,10099875_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,662.6만,6626000.0,https://series.naver.com/comic/detail.series?productNo=10099875,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:13,2026-06-18 05:59:15,2.05,2026-06-18 05:59:15,2026-06-18,05:59:15,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:15
thu,14,할배무사와 지존 손녀,신의철,817246,https://comic.naver.com/webtoon/list?titleId=817246&tab=thu,10236036,할배무사와 지존 손녀,할배무사와 지존 손녀 (총 106화/미완결),총 106화/미완결,106.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=10236036,matched,ok,"할배무사와 지존 손녀 (총 106화/미완결)
평점
9.9 | 일향(一向), 신의철 김명현 | 2026.06.03. | 총106화/미완결 | 101화 무료
죽을 날을 앞두고 미련없이 생을 마무리 하려던 순간 덮친 멸문지화!유진산은 홀로 생존한 갓난 손녀 '유설'이 다 자랄 때까지만이라도 살아남기로 결심한다.이미 늙어버린 몸으로 육아와 수련을 병행하며 눈물겨운 사투를 벌..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,10236036_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,613.6만,6136000.0,https://series.naver.com/comic/detail.series?productNo=10236036,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:16,2026-06-18 05:59:19,2.61,2026-06-18 05:59:19,2026-06-18,05:59:19,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:19
thu,80,히든클래스 중력자로 최강을 노린다,네코코,817369,https://comic.naver.com/webtoon/list?titleId=817369&tab=thu,10249565,히든클래스 중력자로 최강을 노린다,히든클래스 중력자로 최강을 노린다 (총 147화/미완결),총 147화/미완결,147.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=10249565,matched,ok,"히든클래스 중력자로 최강을 노린다 (총 147화/미완결)
평점
9.0 | 네코코 아사히 아오 | 2026.06.03. | 총147화/미완결 | 142화 무료
일본 네이버웹툰(라인망가) 소년/판타지 부문 TOP10! ""S급 헌터인 나였기에 [중력자]야말로 최강 클래스라는 걸 알고 있다.""몬스터가 습격해 오는 현대 사회. [도적] 클래스를 보유하고 있던 이코마는 능력 제한으로 인해 남..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,10249565_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,112.1만,1121000.0,https://series.naver.com/comic/detail.series?productNo=10249565,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:20,2026-06-18 05:59:22,2.03,2026-06-18 05:59:22,2026-06-18,05:59:22,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:22
thu,94,2차전직 스킵용사,김장훈,820569,https://comic.naver.com/webtoon/list?titleId=820569&tab=thu,10613623,2차전직 스킵용사,2차전직 스킵용사 (총 130화/미완결),총 130화/미완결,130.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=10613623,matched,ok,"2차전직 스킵용사 (총 130화/미완결)
평점
6.9 | 김장훈 박수봉 | 2026.05.27. | 총130화/미완결 | 126화 무료
영상은 2배속, 글은 3줄 요약이 아니면 보지 않는 스킵 전문가이자,공략 부문 1위였던 원딜 전문 스트리머 도의지가 상한 맛 게임이라고 불리는 페러러스에 도전한다.히든이라면 사족을 못쓰는 게이머들도 두 손 두 발 든 히든..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,10613623_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,28.6만,286000.0,https://series.naver.com/comic/detail.series?productNo=10613623,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:24,2026-06-18 05:59:26,2.24,2026-06-18 05:59:26,2026-06-18,05:59:26,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:26
thu,20,사형집행관,이제환,822765,https://comic.naver.com/webtoon/list?titleId=822765&tab=thu,10847094,사형집행관,사형집행관 (총 62화/미완결),총 62화/미완결,62.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=10847094,matched,ok,"사형집행관 (총 62화/미완결)
평점
9.5 | 이제환 박범진 | 2026.06.03. | 총62화/미완결 | 57화 무료
히어로 시절에 죽이지 못하고 감옥에 수감시켜 놓았던 빌런들.이제는 교도관이 되어 자신의 손으로 사형을 집행한다.",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,10847094_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,319.8만,3198000.0,https://series.naver.com/comic/detail.series?productNo=10847094,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:45,2026-06-18 05:59:48,2.89,2026-06-18 05:59:48,2026-06-18,05:59:48,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:48
thu,5,소꿉친구 컴플렉스,,822640,https://comic.naver.com/webtoon/list?titleId=822640&tab=thu,10851069,소꿉친구 컴플렉스,소꿉친구 컴플렉스 (총 80화/미완결),총 80화/미완결,80.0,미완결,은하이 은하이,평점 9.8 | 은하이 은하이 | 2026.06.17. | 총80화/미완결 | 76화 무료,https://series.naver.com/comic/detail.series?productNo=10851069,review_needed,not_found,"소꿉친구 컴플렉스 (총 80화/미완결)
평점
9.8 | 은하이 은하이 | 2026.06.17. | 총80화/미완결 | 76화 무료
20살에 20년지기, 평생을 함께한 소꿉친구 하늘과 민철.그런 소꿉친구의 알고 싶지 않은 은밀한 사정을 알아버렸다?!서로를 이성으로 생각한 적이 결코 없는 두사람이지만,오해가 오해를 낳고 착각이 착각을 낳는 상황들 속에..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,10851069_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,,,https://nid.naver.com/nidlogin.login?svctype=128&a_version=2&viewtype=1&url=http%3A%2F%2Fseries.naver.com%2Fcomic%2Fdetail.series%3FproductNo%3D10851069&surl=https%3A%2F%2Fseries.naver.com,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:28,2026-06-18 05:59:43,15.38,2026-06-18 05:59:43,2026-06-18,05:59:43,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:43
thu,95,누가 어른 되면 다 된댔어?,정오,823779,https://comic.naver.com/webtoon/list?titleId=823779&tab=thu,11004940,누가 어른 되면 다 된댔어?,누가 어른 되면 다 된댔어? (총 110화/미완결),총 110화/미완결,110.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=11004940,matched,ok,"누가 어른 되면 다 된댔어? (총 110화/미완결)
평점
9.9 | 정오 정오 | 2026.06.04. | 총110화/미완결 | 107화 무료
인턴부터 쭉 충성했더니 연봉 동결, 보람 없는 업무, 반복되는 야근! 결국 사표를 낸 재이는 오래 꿈꿔왔던 화가의 길로 들어서는데… 좋아서 시작한 일이지만 이 길은 멀고도 험하다. 의욕만 충만한 프리랜서, 인생의 노잼시기..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,11004940_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,13.7만,137000.0,https://series.naver.com/comic/detail.series?productNo=11004940,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:49,2026-06-18 05:59:51,2.45,2026-06-18 05:59:51,2026-06-18,05:59:51,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:51
thu,11,이세계 캠핑으로 힐링 라이프,일인분,823971,https://comic.naver.com/webtoon/list?titleId=823971&tab=thu,11014664,이세계 캠핑으로 힐링 라이프,이세계 캠핑으로 힐링 라이프 (총 108화/미완결),총 108화/미완결,108.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=11014664,matched,ok,"이세계 캠핑으로 힐링 라이프 (총 108화/미완결)
평점
10.0 | 금의행, 일인분 맹깐 | 2026.05.06. | 총108화/미완결 | 105화 무료
미각을 잃은 스타 셰프 강현은 사람들의 눈을 피해 한적한 시골로 숨는다.시골 할아버지 집에서 발견한 이세계로 이어진 통로, 기왕 도망 온 김에 이세계에서 유유자적 캠핑 라이프를 즐기려고 하는데…자꾸만 강현에게 관심..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,11014664_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,726.3만,7263000.0,https://series.naver.com/comic/detail.series?productNo=11014664,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:53,2026-06-18 05:59:56,2.75,2026-06-18 05:59:56,2026-06-18,05:59:56,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:56
thu,63,소심한 호랭이 코코,키몽,825415,https://comic.naver.com/webtoon/list?titleId=825415&tab=thu,11141169,소심한 호랭이 코코,소심한 호랭이 코코 (총 93화/미완결),총 93화/미완결,93.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=11141169,matched,ok,"소심한 호랭이 코코 (총 93화/미완결)
평점
10.0 | 키몽 키몽 | 2026.06.03. | 총93화/미완결 | 88화 무료
""내는 소심한 호랭이 코코. 내랑 친구해줘유..""처음으로 유치원에 가게 된 코코. 소심한 코코에게 유치원은 벅찬 시련들이 가득한데... 워떡혀! 짝꿍아 도와줘유..~우리들의 어린 시절이 떠오르는, 호랭이 코코의 무해한 유치원 적..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,11141169_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,41.8만,418000.0,https://series.naver.com/comic/detail.series?productNo=11141169,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 05:59:57,2026-06-18 05:59:59,2.15,2026-06-18 05:59:59,2026-06-18,05:59:59,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 05:59:59
thu,33,별정직 공무원,권소라,826341,https://comic.naver.com/webtoon/list?titleId=826341&tab=thu,11141490,별정직 공무원,별정직 공무원 (총 68화/미완결),총 68화/미완결,68.0,미완결,,,https://series.naver.com/comic/detail.series?productNo=11141490,matched,ok,"별정직 공무원 (총 68화/미완결)
평점
9.9 | 권소라,서재원 ch,말패 | 2026.04.29. | 총68화/미완결 | 전화 무료
9급 공무원만 4번째 실패 후 우여곡절 끝에환경부 산하 별정직 공무원에 합격한 한마루.고시원 안녕! 편의점 도시락 안녕! 하지만 합격의 기쁨은 잠깐알고 보니 목숨 건 국가 비밀 업무였다?!황사와 함께 인간 세상에 와, 사람..",thu,1,thu,1,wed,thu,True,thu,목,wed,thu,11141490_thu,post_24h,어제 밤 10시 공개 이후 증가분 확인용 수집,249.3만,2493000.0,https://series.naver.com/comic/detail.series?productNo=11141490,20260618_054937,thu,목,2026-06-18 05:49:37,2026-06-18,05:49:37,2026-06-18 06:00:04,2026-06-18 06:00:06,1.87,2026-06-18 06:00:06,2026-06-18,06:00:06,2026-06-18 06:05:12,935.48,False,,,,,,,2026-06-18 06:00:06
